Issue Key,Issue Type,Epic Link,Summary,User Story / Description,Priority,Story Points,PI,Sprint,Labels,Acceptance Criteria,Dependencies,NFR Tags,Ready?
SOS-EPIC-01,Epic,,Unified Order Retrieve,"Customer, agent, or seller can view complete order and ancillary state",P0,,PI-1,,"epic,order-retrieve",,,,N/A
SOS-EPIC-02,Epic,,Passenger-Level Servicing Eligibility,"User understands whether one passenger, selected passengers, or all passengers can be changed",P0,,PI-1,,"epic,eligibility",,,,N/A
SOS-EPIC-03,Epic,,Split Order Workflow,Eligible passenger split can be quoted and confirmed safely,P1,,PI-1,,"epic,split",,,,N/A
SOS-EPIC-04,Epic,,Change Quote and Repricing,"User can view fare difference, penalties, taxes, and total payable/refundable amount",P0,,PI-1,,"epic,change-quote",,,,N/A
SOS-EPIC-05,Epic,,Ancillary Continuity,"Paid seats, baggage, meals, and other extras are transferred, reselected, repriced, or refunded",P0,,PI-1,,"epic,ancillary-continuity",,,,N/A
SOS-EPIC-06,Epic,,Refund Quote and Cancellation,Customer can see ticket and ancillary refund estimate before cancellation,P0,,PI-1,,"epic,refund,cancel",,,,N/A
SOS-EPIC-07,Epic,,Distribution API and Observability,Seller channels receive consistent servicing APIs with measurable reliability,P1,,PI-1,,"epic,seller-api,observability",,,,N/A
SOS-101,Story,SOS-EPIC-01,Retrieve complete order,"As a traveler, agent, or seller, I want to retrieve the complete order, so that I can understand itinerary, passengers, fare, payment, and purchased ancillaries before servicing.",P0,5,PI-1,Iteration 1,"domain:order-servicing,channel:direct,channel:seller-api","Valid order returns itinerary, passengers, fare, payment, and order items; ancillaries include continuity state; unauthorized access blocked; response includes correlation ID and audit reference.",Identity/RBAC,"latency,security,audit",Yes
SOS-102,Story,SOS-EPIC-01,Authenticate order access,"As a platform owner, I want secure access control for order retrieval, so that passenger and payment-adjacent information is protected.",P0,3,PI-1,Iteration 1,"security,rbac,pii",Direct users pass order/passenger validation; agents and sellers pass channel permission checks; failures do not expose PII; failed attempts logged.,Identity/RBAC,"security,pii,audit",Yes
SOS-103,Story,SOS-EPIC-02,Show servicing eligibility,"As a traveler or seller, I want to know which servicing actions are available, so that I do not start a flow that cannot be completed.",P0,5,PI-1,Iteration 2,"eligibility,servicing","Allowed, blocked, and assisted actions are listed; blocked actions show reason and next best action; eligibility shown at order and passenger level.","Fare rules, channel permissions","latency,structured-errors",Yes
SOS-104,Story,SOS-EPIC-02,Select passenger-level change,"As a traveler with a multi-passenger order, I want to select one or more passengers for a change, so that I do not accidentally change the full group itinerary.",P0,5,PI-1,Iteration 2,"passenger-level,ux","User selects one, multiple, or all passengers; system explains split requirement; assisted handoff created when online flow is unavailable; unchanged passengers are clearly shown.",Order service,"accessibility,analytics",Yes
SOS-105,Story,SOS-EPIC-03,Generate split quote,"As a traveler or seller, I want to see the impact of splitting selected passengers, so that I understand what will happen before a passenger-level change.",P1,8,PI-1,Iteration 3,"split,quote","Split quote shows selected and remaining passengers, impacted items, warnings, expiry, and fallback path on failure.","Order service, ancillary service","latency,audit",Yes
SOS-106,Story,SOS-EPIC-03,Confirm split idempotently,"As a platform owner, I want split confirmation to be idempotent, so that retries do not create duplicate order splits.",P1,8,PI-1,Iteration 4,"split,idempotency",Split confirmation requires idempotency key; retries return original result; original and split order IDs are linked; audit event created.,Order service,"idempotency,audit,reliability",Yes
SOS-107,Story,SOS-EPIC-04,Search alternative flights for change,"As a traveler, I want to view available alternative flights for an eligible change, so that I can choose a new itinerary.",P0,5,PI-1,Iteration 3,"change,availability","Alternative search uses original order context and selected passengers; results show flight, cabin, fare compatibility, and indicative price impact; stale results expire.","Inventory, pricing",latency,Yes
SOS-108,Story,SOS-EPIC-04,Generate change quote,"As a traveler or seller, I want a complete change quote, so that I can understand fare difference, penalties, taxes, and total payable/refundable amount.",P0,8,PI-1,Iteration 3,"change-quote,pricing","Quote includes old/new itinerary, fare difference, fee, tax difference, total due/refund, selected passengers, expiry, and ancillary impact.","Pricing, fare rules, taxes","latency,audit,structured-errors",Yes
SOS-109,Story,SOS-EPIC-04,Confirm change idempotently,"As a platform owner, I want change confirmation to be idempotent, so that duplicate retries do not create duplicate charges, refunds, or order updates.",P0,8,PI-1,Iteration 4,"change,idempotency,payment",Confirmation requires valid quote ID and idempotency key; duplicate attempts return existing result; payment/refund linked; order timeline records impacts.,Payments/refunds,"idempotency,reliability,audit",Yes
SOS-110,Story,SOS-EPIC-05,Check paid seat continuity,"As a traveler, I want to know what happens to my paid seat after a change, so that I can retain, reselect, or refund it.",P0,5,PI-1,Iteration 4,"seat,ancillary-continuity",Continuity check identifies same seat availability; equivalent options or refund eligibility shown; price difference included; final state recorded.,"Seat map, seat inventory","latency,analytics",Yes
SOS-111,Story,SOS-EPIC-05,Check extra baggage continuity,"As a traveler, I want to know whether extra baggage moves to my new flight, so that I do not lose paid baggage unexpectedly.",P1,5,PI-1,Iteration 4,"baggage,ancillary-continuity","Rules evaluate route, cabin, passenger, fare, and timing; baggage state shown; additional collection or refund included in quote.",Baggage rules,"latency,audit",Yes
SOS-112,Story,SOS-EPIC-05,Prompt meal reselection,"As a traveler, I want to know when meal preferences need reselection, so that my changed journey still reflects my preferences.",P2,3,PI-1,Iteration 5,"meal,ux",User is prompted when meal cannot be retained; closed selection window shows reason; summary shows final meal state; timeline updated.,Meal service rules,"accessibility,audit",Yes
SOS-113,Story,SOS-EPIC-06,Generate refund quote for ticket and extras,"As a traveler, I want ticket refund and ancillary refund shown separately, so that I understand what I will receive before cancelling.",P0,8,PI-1,Iteration 5,"refund,finance","Refund quote displays fare, taxes, penalties, and ancillary refunds separately; quote includes estimated amount, currency, expiry, and reason codes.","Refund service, finance rules","latency,audit,finance-accuracy",Yes
SOS-114,Story,SOS-EPIC-06,Cancel eligible order,"As a traveler or seller, I want to cancel an eligible order after reviewing refund impact, so that I can complete cancellation without contacting support.",P1,5,PI-1,Iteration 5,"cancel,refund,idempotency",Cancellation requires refund quote ID and idempotency key; status updated; refund request created; failure returns structured error and next action; audit trail created.,"Refund service, order service","idempotency,audit,reliability",Yes
SOS-115,Story,SOS-EPIC-07,Provide seller servicing API with standard errors,"As a travel seller or OTA partner, I want consistent servicing APIs and error responses, so that I can support customers without switching channels unnecessarily.",P1,8,PI-1,Iteration 5,"seller-api,distribution,structured-errors","Seller API supports retrieve, eligibility, change quote, ancillary continuity, refund quote, and cancellation; correlation ID and standard errors returned; partner telemetry captured.","API gateway, partner permissions","security,observability,rate-limiting",Yes
